dst,reflex18,reflex19,reflex20,reflex21,reflex22,reflex23
13113,3.1229339340890907,2.928442042677213,2.8044937020505727,2.9921649674630255,3.0440595519949976,3.759134987835771
13115,3.568706786938112,3.311053824469527,3.1371172927929996,3.321106052184894,3.320009740368772,4.062630381338444
13117,3.142069241463038,3.006324968385106,2.9182272687907784,3.145108906995971,3.1619103618399778,3.759061815345111
13119,4.373194984629646,4.048220727458073,3.7932846670677027,3.9863675682237356,4.038833958030382,4.999052024501309
13121,3.6751401113175777,3.5386373930814448,3.379786380460012,3.7652040011198102,3.839694204631802,4.2522415634165505
13123,4.269991037428456,4.105570775703488,4.098748837742707,4.291111303171384,4.357832023685206,4.840829161560805
13125,2.9391940962061063,2.8251391105283736,2.7054144608196014,2.8989761037891704,2.945924047536534,3.350581522529651
13127,5.065356861795818,4.868092558765586,4.719610869839143,4.937372925571363,4.973261299810839,5.387565880993525
13129,4.240357276626633,4.070907547643864,3.9976904694033197,4.3362355125734116,4.615960027237157,5.274251567481711
13131,3.1741754709225924,2.913559625394258,2.8271819901059088,3.0049594787833462,3.07580937269351,3.724719592224763
13133,4.506193948867375,4.229921328822671,4.1127715613954035,4.338886794864168,4.3502805930594315,4.906048619838454
